"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1",15.5,16.4,16.5,16.5,16.3,16.3,16.1,16.2,16.3,15.5,16.1,16.3
"2",15.7,16.3,16.4,16.4,16.4,16.8,16.3,16.6,16.3,15.3,16.1,16.5
"3",17.7,17.9,17.8,17.9,17.9,17.3,17,17.5,16.8,16.1,16.7,15.9
"4",15.7,16.2,16.7,16.7,16.4,16.6,16.3,16.6,16.1,15.9,15.7,16.4
"5",16,16.4,16.7,16.8,17,17.1,16.7,16.4,16.4,16.2,16,16.1
"6",16.5,16.1,16.5,17,17,17.1,16.7,17.2,16.7,16,16.5,16.8
"7",17,17.7,17.5,17.8,17.4,17.8,17.8,17.8,17.4,16.5,17,16.6
"8",17.2,17.3,17.6,17.2,17.5,16.4,17,16.4,17.1,16.8,16.6,16.2
"9",17,16.8,16.1,18,17.4,17.9,17.8,18,17.5,17,17.4,17.1
"10",17.5,17.2,17.8,17.7,18.4,18.5,18.2,18.5,18.4,16.6,17.2,17
"11",17.9,18,17.2,17.8,18.3,18.6,18.3,18.2,18.4,16.9,17.2,17.2
"12",17.1,17.4,18.2,17.9,17.7,17.8,17.2,17.4,17.2,16.8,16,16.6
"13",16.3,16.8,17,16.9,17.2,17.8,17.5,17.1,16.7,16.9,16.3,17
"14",16.8,16.8,16.8,17.2,17.2,17.6,17.5,17.4,17.3,16.1,16.4,17
"15",17.1,17.4,17.1,17.4,17.4,17.7,17.3,16.9,17.4,16.1,16.5,16.3
"16",15.8,16.5,16.4,17,16.7,17.1,16.6,16.7,17,16,16.4,16.1
"17",15.8,17.1,16.6,17,17.7,17.1,17.5,17.6,17.5,17.4,16.6,17.4
"18",18.2,18.4,18.3,18.3,18.1,17.7,17.3,17.2,17.1,17,16.5,16
"19",16.2,15.9,16.7,16.5,16.9,16.8,17,16.7,16,16.2,16,16.2
"20",15.6,16.1,16.4,17,17.1,17,16.9,17,16.1,16.6,16.3,16.3
"21",16,16.5,16.7,17.3,17.2,17.1,17,17.5,16.7,17,16.7,17
"22",16.9,17.2,17.2,16.7,17.6,17.2,17.5,17.4,17.5,16.8,16.8,17
"23",17.1,17.5,16.9,17.4,17.8,16.9,17.5,17.8,17.1,16.4,16.7,16.6
"24",16.6,17.3,17.6,17.1,17.5,17.5,16.9,17.6,16.5,16.6,16.7,16.6
"25",16.7,17.3,17.7,17.8,17.5,17.4,17.6,17.2,17.3,16.4,16.6,16.4
"26",16.6,17.1,17,16.9,17.3,17.1,17.4,17.4,17.4,16.9,16.4,16.9
"27",17.3,17.1,17.1,17.1,17.2,17.1,17.5,17,17.1,16,16.5,15.9
"28",16.1,16.2,16.2,16.5,16.7,17.3,16.8,16.6,17,16.6,16.2,16.1
"29",16.5,16.7,16.8,17.3,17.3,17.2,17.6,17.8,17.7,16.8,17.1,17
"30",17.5,18.3,18.4,17.8,17.9,17.2,16.9,17.4,16.4,16.5,16.1,16.1
"31",16.4,16.1,16.3,16.3,17.4,17.5,17.2,17.5,17.2,16.1,15.9,16.5
"32",16.5,16.6,16.9,16.3,17.4,17.5,17.6,17.3,17.4,16.7,17,16.8
"33",17.3,16.9,17.8,17.7,17.2,17.7,17.4,17.5,17.2,16.9,16.3,16.5
"34",16.8,17.3,17.1,17.8,17.4,17.9,17.9,17.6,17.4,16.6,16.6,17
"35",16.8,17.1,17.3,17.6,18.2,18.1,18.1,18.4,18.4,17.7,17.2,18
"36",18,18.6,18.9,18.1,18.1,17.9,17.7,18.3,17.7,17.3,16.6,17
"37",16.6,17.1,16.6,17.5,17.6,17.7,18.2,18,17.6,16.6,16.6,16.4
"38",16.2,16.3,16.9,16.2,16.8,17.1,17.2,16.7,17,16.5,16.8,16.4
"39",16.6,17.3,17.2,17.2,17.6,17.6,17.3,17.1,17.2,16.6,16.7,17.1
"40",16.7,17.6,17.2,17.6,17.9,17.1,15.5,16.4,16.5,16.5,16.3,16.3
